Collection ID,User ID,Collection Name,Status,Created Date,Total Contributions,Amount Raised (Net),Amount Raised (Gross),Platform Fees,Total Withdrawals,Total Withdrawn,Wallet Available Balance,Wallet Pending Balance,Wallet Net Payment,Expected Outstanding (Raised - Withdrawn),Balance Discrepancy (Wallet vs Expected),Wallet Last Updated
3aaf6944-7256-4c21-9d21-710f82759fb6,0ccb51ba-9da2-4c24-b4d0-9a249f34035a,Untitled Collection,active,2025-08-15T15:58:28.651199+00:00,78,863772,881400,17628,1,1045000,,,1029882,-181228,181228,2026-08-08T04:00:00.165309+00:00
8cdff519-6c70-4e25-8c80-9c9f24083948,0ccb51ba-9da2-4c24-b4d0-9a249f34035a,Untitled Collection,active,2025-08-16T11:51:59.649584+00:00,69,764106,779700,15594,2,896301,11767,,908068,-132195,143962,2026-08-08T04:00:00.165309+00:00
abfb6213-4744-4b28-952a-294d773ee02c,1fc35f99-3e3b-43cd-927c-c74c10f8b4d3,Untitled Collection,active,2025-07-09T19:39:38.080031+00:00,66,323400,330000,6600,5,387100,,,387100,-63700,63700,2026-08-08T04:00:00.165309+00:00
51b86e12-7d24-4474-8669-c306f55aa046,92c015cb-92c0-4595-b6a9-2c4ea3750164,Untitled Collection,active,2025-09-30T15:37:15.486056+00:00,262,267695,274387.38,6692.380000000005,5,377420,9.03,,377429.03,-109725,109734.03,2026-08-08T04:00:00.165309+00:00
2ece7301-b5ec-431d-93e9-49e99bf88b0d,0ccb51ba-9da2-4c24-b4d0-9a249f34035a,Untitled Collection,active,2025-08-17T10:17:35.878376+00:00,21,232554,237300,4746,1,284193,,,276850,-51639,51639,2026-08-08T04:00:00.165309+00:00
9ca93e50-6c73-4b05-9a05-b4395a2f0b3f,0ccb51ba-9da2-4c24-b4d0-9a249f34035a,Untitled Collection,active,2025-08-18T07:10:28.549495+00:00,18,199332,203400,4068,1,218610,2870,,221480,-19278,22148,2026-08-08T04:00:00.165309+00:00
64f1bb3f-ce72-4501-9526-cf584adbb46b,0ccb51ba-9da2-4c24-b4d0-9a249f34035a,Untitled Collection,active,2025-08-15T21:43:56.177022+00:00,14,155036,158200,3164,1,174888,2296,,177184,-19852,22148,2026-08-08T04:00:00.165309+00:00
ed1ecc6c-f496-4a70-b7d0-532f0224b005,0ccb51ba-9da2-4c24-b4d0-9a249f34035a,Untitled Collection,active,2025-08-19T12:07:02.999357+00:00,13,143962,146900,2938,1,163957,2153,,166110,-19995,22148,2026-08-08T04:00:00.165309+00:00
876526c4-461c-49c5-8898-586c399de9a5,0ccb51ba-9da2-4c24-b4d0-9a249f34035a,Untitled Collection,active,2025-08-20T11:34:07.576997+00:00,11,121814,124300,2486,1,142096,1866,,143962,-20282,22148,2026-08-08T04:00:00.165309+00:00
41c972d3-c8e7-4f2d-9d17-d547b1b9aeaa,0ccb51ba-9da2-4c24-b4d0-9a249f34035a,Untitled Collection,active,2025-08-22T10:07:43.441607+00:00,9,99666,101700,2034,1,120235,1579,,121814,-20569,22148,2026-08-08T04:00:00.165309+00:00
